indicatorId,geoUnit,year,value,qualifier,magnitude
EXPGDP.TOT,ARE,2020,1.48831,,
EXPGDP.TOT,ARE,2021,1.49469,,
EXPGDP.TOT,ARG,2020,0.54126,,
EXPGDP.TOT,ARG,2021,0.52216,,
EXPGDP.TOT,ARG,2022,0.54947,,
EXPGDP.TOT,ARM,2020,0.2092,,
EXPGDP.TOT,ARM,2021,0.20557,,
EXPGDP.TOT,ARM,2022,0.20955,,
EXPGDP.TOT,ARM,2023,0.18115,,
EXPGDP.TOT,AUS,2021,1.85509,,
EXPGDP.TOT,AUT,2020,3.20278,,
EXPGDP.TOT,AUT,2021,3.26361,,
EXPGDP.TOT,AUT,2022,3.20048,,
EXPGDP.TOT,AZE,2020,0.2239,,
EXPGDP.TOT,AZE,2021,0.20836,,
EXPGDP.TOT,AZE,2022,0.1513,,
EXPGDP.TOT,AZE,2023,0.18178,,
EXPGDP.TOT,BEL,2020,3.39175,,
EXPGDP.TOT,BEL,2021,3.39239,,
EXPGDP.TOT,BEL,2022,3.40544,,
EXPGDP.TOT,BFA,2020,0.25116,,
EXPGDP.TOT,BFA,2021,0.25126,,
EXPGDP.TOT,BGR,2020,0.84967,,
EXPGDP.TOT,BGR,2021,0.77278,,
EXPGDP.TOT,BGR,2022,0.75421,,
EXPGDP.TOT,BIH,2020,0.20325,,
EXPGDP.TOT,BIH,2021,0.19035,,
EXPGDP.TOT,BIH,2022,0.18743,,
EXPGDP.TOT,BIH,2023,0.19228,,
EXPGDP.TOT,BLR,2020,0.53901,,
EXPGDP.TOT,BLR,2021,0.45981,,
EXPGDP.TOT,BLR,2022,0.47477,,
EXPGDP.TOT,BLR,2023,0.57843,,
EXPGDP.TOT,BMU,2020,0.22546,,
EXPGDP.TOT,BRA,2020,1.14526,,
EXPGDP.TOT,CAN,2020,1.93414,,
EXPGDP.TOT,CAN,2021,1.86431,,
EXPGDP.TOT,CAN,2022,1.71166,,
EXPGDP.TOT,CAN,2023,1.70133,,
EXPGDP.TOT,CHE,2021,3.30645,,
EXPGDP.TOT,CHL,2020,0.33525,,
EXPGDP.TOT,CHL,2021,0.36041,,
EXPGDP.TOT,CHN,2020,2.40666,,
EXPGDP.TOT,CHN,2021,2.4326,,
EXPGDP.TOT,CHN,2022,2.55518,,
EXPGDP.TOT,COG,2022,0.38339,,
EXPGDP.TOT,COL,2020,0.2894,,
EXPGDP.TOT,CRI,2020,0.33002,,
EXPGDP.TOT,CRI,2021,0.27385,,
EXPGDP.TOT,CRI,2022,0.33789,,
EXPGDP.TOT,CUB,2020,0.51838,,
EXPGDP.TOT,CUB,2021,0.32282,,
EXPGDP.TOT,CUB,2022,0.36012,,
EXPGDP.TOT,CYP,2020,0.83654,,
EXPGDP.TOT,CYP,2021,0.8003,,
EXPGDP.TOT,CYP,2022,0.74527,,
EXPGDP.TOT,CZE,2020,1.98599,,
EXPGDP.TOT,CZE,2021,1.99601,,
EXPGDP.TOT,CZE,2022,1.9642,,
EXPGDP.TOT,DEU,2020,3.13136,,
EXPGDP.TOT,DEU,2021,3.12882,,
EXPGDP.TOT,DEU,2022,3.13236,,
EXPGDP.TOT,DNK,2020,2.97258,,
EXPGDP.TOT,DNK,2021,2.76142,,
EXPGDP.TOT,DNK,2022,2.89051,,
EXPGDP.TOT,EGY,2020,0.91564,,
EXPGDP.TOT,EGY,2021,0.91175,,
EXPGDP.TOT,EGY,2022,1.01968,,
EXPGDP.TOT,EGY,2023,1.03356,,
EXPGDP.TOT,ESP,2020,1.4091,,
EXPGDP.TOT,ESP,2021,1.41122,,
EXPGDP.TOT,ESP,2022,1.43532,,
EXPGDP.TOT,EST,2020,1.75315,,
EXPGDP.TOT,EST,2021,1.76766,,
EXPGDP.TOT,EST,2022,1.78205,,
EXPGDP.TOT,FIN,2020,2.91243,,
EXPGDP.TOT,FIN,2021,2.9885,,
EXPGDP.TOT,FIN,2022,2.96469,,
EXPGDP.TOT,FRA,2020,2.27464,,
EXPGDP.TOT,FRA,2021,2.21808,,
EXPGDP.TOT,FRA,2022,2.23312,,
EXPGDP.TOT,GBR,2020,2.93883,,
EXPGDP.TOT,GBR,2021,2.89711,,
EXPGDP.TOT,GEO,2020,0.29765,,
