Repository,Stars,Contributor,Location,City,Country,Latitude,Longitude
AutoGPT,171829,Pwuts,"Delft, NL",Delft,Netherlands,52.01157689999999,4.3570677
AutoGPT,171829,Torantulino,UK,Oak,Central African Republic / Central African Republic,55.378051,-3.435973
AutoGPT,171829,richbeales,"Kent, UK",Kent,United Kingdom,51.0928319,0.8392470999999999
AutoGPT,171829,majdyz,Amsterdam,Amsterdam,The Netherlands,52.3675734,4.9041389
AutoGPT,171829,aarushik93,Berlin,Berlin,Germany,52.52000659999999,13.404954
AutoGPT,171829,ntindle,Texas,Texas,United States,30.27272809999999,-97.7411016
AutoGPT,171829,kcze,Scotland,Glasgow,Scotland,56.49067119999999,-4.2026458
AutoGPT,171829,collijk,United States,United States,United States,38.7945952,-106.5348379
AutoGPT,171829,AndresCdo,Colombia,Colombia,Colombia,4.570868,-74.297333
AutoGPT,171829,p-i-,"Oxford, England",Oxford,England,51.7520209,-1.2577263
AutoGPT,171829,maiko,Serris,Serris,France,48.84432,2.788231
AutoGPT,171829,drikusroor,"Utrecht, Netherlands",Utrecht,Netherlands,52.09192549999999,5.1229572
AutoGPT,171829,Abhi1992002,India,India,India,20.593684,78.96288
AutoGPT,171829,erik-megarad,Denver,Denver,United States,39.7392358,-104.990251
AutoGPT,171829,Wladastic,Germany,Germany,Germany,51.165691,10.451526
AutoGPT,171829,k-boikov,"Sofia, Bulgaria",Sofia,Bulgaria,42.6977082,23.3218675
AutoGPT,171829,dschonholtz,"Boston, MA",Boston,United States,42.3555076,-71.0565364
AutoGPT,171829,Taytay,"Tulsa, OK",Tulsa,United States,36.1551375,-95.989501
AutoGPT,171829,andrewhooker2,Texas,Texas,United States,30.27272809999999,-97.7411016
AutoGPT,171829,AlrikOlson,"Portland, OR",Portland,United States,45.515232,-122.6783853
AutoGPT,171829,OmriGM,Israel,Israel,Israel,31.046051,34.851612
AutoGPT,171829,Androbin,"Passau, Germany",Passau,Germany,48.5667364,13.4319466
AutoGPT,171829,russellocean,"South Carolina, United States",South Carolina,United States,34.8484945,-82.4000147
AutoGPT,171829,bituq,The Netherlands,The Netherlands,The Netherlands,52.132633,5.291265999999999
AutoGPT,171829,nponeccop,"Barcelona, Spain",Barcelona,Spain,41.3873974,2.168568
