Country_Standardized,total_contributors,total_stars,avg_stars_per_contributor
Afghanistan,40,1439431,35985.775
Albania,143,4160394,29093.664335664336
Algeria,6,111226,18537.666666666668
American Samoa,62,1345142,21695.83870967742
Andorra,22,683379,31062.68181818182
Anguilla,70,2543140,36330.57142857143
Antigua and Barbuda,4,267656,66914.0
Argentina,92,2641143,28708.07608695652
Armenia,64,1070552,16727.375
Aruba,10,118599,11859.9
Australia,174,5518455,31715.258620689656
Austria,49,1035881,21140.428571428572
Azerbaijan,1,13062,13062.0
Bahrain,1,77961,77961.0
Bangladesh,21,588050,28002.380952380954
Belarus,6,190622,31770.333333333332
Belgium,64,2040652,31885.1875
Benin,1,29501,29501.0
"Bolivia, Plurinational State of",3,74597,24865.666666666668
Bosnia and Herzegovina,2,36122,18061.0
Brazil,119,3536481,29718.32773109244
British Indian Ocean Territory,5,247135,49427.0
Bulgaria,13,543247,41788.230769230766
Burundi,7,320206,45743.71428571428
Cambodia,1,27246,27246.0
Cameroon,2,32748,16374.0
Canada,684,17762346,25968.342105263157
Cayman Islands,13,793997,61076.692307692305
Chile,6,339059,56509.833333333336
China,1101,36076238,32766.79200726612
Colombia,71,2097579,29543.3661971831
Cook Islands,1,6777,6777.0
Croatia,28,871506,31125.214285714286
Cyprus,10,364473,36447.3
Czechia,23,861871,37472.65217391304
Côte d'Ivoire,3,35295,11765.0
Denmark,45,1195491,26566.466666666667
Dominican Republic,15,466563,31104.2
Ecuador,4,164872,41218.0
Egypt,24,600576,25024.0
El Salvador,1,56047,56047.0
Eritrea,7,293252,41893.142857142855
Estonia,12,258118,21509.833333333332
Ethiopia,4,148309,37077.25
Faroe Islands,4,129173,32293.25
Finland,27,1384961,51294.851851851854
France,290,8754934,30189.427586206897
Gabon,23,637441,27714.82608695652
Georgia,14,314492,22463.714285714286
Germany,290,8389760,28930.206896551725
Ghana,3,39719,13239.666666666666
Gibraltar,3,120796,40265.333333333336
Greece,28,734789,26242.464285714286
Greenland,14,439346,31381.85714285714
Grenada,1,7852,7852.0
Guam,1,71195,71195.0
Guyana,1,29501,29501.0
Holy See (Vatican City State),12,325634,27136.166666666668
Honduras,15,149074,9938.266666666666
Hungary,37,1339834,36211.72972972973
Iceland,10,145467,14546.7
India,599,14645311,24449.60100166945
Indonesia,52,1555680,29916.923076923078
"Iran, Islamic Republic of",25,827492,33099.68
Iraq,2,30299,15149.5
Ireland,41,646122,15759.073170731708
Isle of Man,1,29022,29022.0
Israel,51,1709325,33516.17647058824
Italy,41,1254455,30596.463414634145
Jamaica,1,5622,5622.0
Japan,152,6040775,39741.94078947369
Jordan,18,485557,26975.38888888889
Kazakhstan,3,25688,8562.666666666666
Kenya,24,795209,33133.708333333336
"Korea, Republic of",2,21828,10914.0
Kyrgyzstan,1,19570,19570.0
