Country,total_contributors,total_stars,avg_stars_per_contributor
+08:00,1,22803,22803.0
"+4° 57' 20.67""",1,3448,3448.0
-117.78,1,23679,23679.0
...China],1,56047,56047.0
02139,1,5832,5832.0
059817,1,36520,36520.0
102676,1,71195,71195.0
110078,1,9536,9536.0
230022,1,12510,12510.0
29880,1,8023,8023.0
37.710840,1,35079,35079.0
53154,1,40041,40041.0
60637,1,11552,11552.0
65000,1,3448,3448.0
68350,1,8218,8218.0
700053,1,148290,148290.0
80110,1,77895,77895.0
91400,1,29022,29022.0
AB,1,23736,23736.0
AL,12,334777,27898.083333333332
AT,1,8023,8023.0
AUS,1,11812,11812.0
AZ,6,168606,28101.0
Alabama,1,19570,19570.0
Albania,1,14182,14182.0
Alberta,3,38811,12937.0
Algeria,5,98164,19632.8
Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,1,13062,13062.0
Almere,1,4206,4206.0
Alsace,1,40041,40041.0
Amazonas,1,13062,13062.0
Amsterdam,2,45945,22972.5
An Giang. Vietnam,1,7980,7980.0
Arad,1,7852,7852.0
Argentina,11,390864,35533.09090909091
Argentina.,1,4425,4425.0
Arizona,6,109248,18208.0
Arkansas,1,5502,5502.0
Armenia,15,155623,10374.866666666667
Ashgabat,1,77961,77961.0
Astraea,1,23679,23679.0
Asturias,1,15915,15915.0
Auckland),1,53164,53164.0
Australia,166,5165970,31120.301204819276
Austria,24,581430,24226.25
Ayaka Universe,1,71195,71195.0
B.C.,1,40041,40041.0
BC,23,663526,28848.956521739132
BE,2,61569,30784.5
BG || Earth,1,6462,6462.0
BW near Stuttgart,1,77895,77895.0
BY,1,11812,11812.0
Bali,2,200851,100425.5
Baltic Sea,1,62415,62415.0
Bangalore,2,27899,13949.5
Bangladesh,18,565692,31427.333333333332
Barcelona,2,18237,9118.5
Bavaria,1,29022,29022.0
Beijing,9,314491,34943.444444444445
Beijing.,1,4741,4741.0
Bejing,1,71195,71195.0
Belarus,4,155599,38899.75
Belgium,26,779816,29992.923076923078
België / Belgique / Belgien,16,455212,28450.75
Benin,1,29501,29501.0
Bihar,2,83797,41898.5
Bogotá Distrito Capital - Municipio,1,77895,77895.0
Bohemia,1,29501,29501.0
Bolivia,1,37244,37244.0
Bosna i Hercegovina / Босна и Херцеговина,1,30974,30974.0
Brasil,72,2029328,28185.11111111111
Bratislava,1,15359,15359.0
Brazil,42,1307605,31133.45238095238
British Columbia,2,92077,46038.5
British Columbia. Canada,1,4411,4411.0
Budapest,1,77895,77895.0
Buenos Aires,1,6250,6250.0
Bulgaria,8,359887,44985.875
Burgas,1,14182,14182.0
Bydgoszcz,1,23211,23211.0
CA 94043,1,34972,34972.0
CA USA,3,81885,27295.0
CA.,1,77895,77895.0
CA</script><script>alert(1)</script>,1,56047,56047.0
CE,1,6268,6268.0
CH,3,67375,22458.333333333332
CHINA,4,83644,20911.0
CO,39,763718,19582.51282051282
CO (USA),1,36520,36520.0
CT,4,291884,72971.0
CZ,1,171829,171829.0
Ca,2,36212,18106.0
Cairo,1,11812,11812.0
California,48,1381803,28787.5625
California USA,1,7934,7934.0
Cambodia,1,27246,27246.0
Cameroun,2,32748,16374.0
Campo Grande - MS,1,6268,6268.0
Canada,672,17449298,25966.217261904763
Canterbury,1,36153,36153.0
Cardiff,2,13720,6860.0
Catalonia,1,53637,53637.0
Cayman Islands,1,3806,3806.0
Chengdu,1,33955,33955.0
Cheongju-si,1,19570,19570.0
Chile,6,339059,56509.833333333336
China,422,14098405,33408.54265402844
China Main Land,1,33955,33955.0
China.,3,87608,29202.666666666668
Co,1,26365,26365.0
Colombia,17,800880,47110.58823529412
Colorado,7,353592,50513.142857142855
Cricicuma,1,13261,13261.0
Croatia,18,411615,22867.5
Cyprus,3,121644,40548.0
Czech Republc,1,7562,7562.0
Czech Republic,19,397111,20900.57894736842
Czech republic,3,55710,18570.0
Czechia,2,27328,13664.0
Côte d’Ivoire,1,21220,21220.0
D.R.,1,6425,6425.0
DC,19,559066,29424.526315789473
DC Metro,1,10418,10418.0
DC.,1,4206,4206.0
DK,2,84353,42176.5
