Repository,Stars,Contributor,Location
AutoGPT,170949,Significant-Gravitas,"Delft, NL"
AutoGPT,170949,Significant-Gravitas,UK
AutoGPT,170949,Significant-Gravitas,"Kent, UK"
AutoGPT,170949,Significant-Gravitas,Berlin
AutoGPT,170949,Significant-Gravitas,Amsterdam
AutoGPT,170949,Significant-Gravitas,Texas
AutoGPT,170949,Significant-Gravitas,Some Where In Space I Think?
AutoGPT,170949,Significant-Gravitas,Scotland
AutoGPT,170949,Significant-Gravitas,Colombia
AutoGPT,170949,Significant-Gravitas,United States
AutoGPT,170949,Significant-Gravitas,"Oxford, England"
AutoGPT,170949,Significant-Gravitas,Somewhere
AutoGPT,170949,Significant-Gravitas,Serris
AutoGPT,170949,Significant-Gravitas,"Utrecht, Netherlands"
AutoGPT,170949,Significant-Gravitas,Denver
AutoGPT,170949,Significant-Gravitas,India
AutoGPT,170949,Significant-Gravitas,Germany
AutoGPT,170949,Significant-Gravitas,"Sofia, Bulgaria"
AutoGPT,170949,Significant-Gravitas,Schengen
stable-diffusion-webui,146591,AUTOMATIC1111,Finland
stable-diffusion-webui,146591,AUTOMATIC1111,"Hsinchu, Taiwan"
stable-diffusion-webui,146591,AUTOMATIC1111,"Miami, Florida"
stable-diffusion-webui,146591,AUTOMATIC1111,Indonesia
stable-diffusion-webui,146591,AUTOMATIC1111,"Saint Louis, US"
stable-diffusion-webui,146591,AUTOMATIC1111,New York City
supabase,76702,supabase,Singapore
supabase,76702,supabase,Earth
supabase,76702,supabase,Newfoundland
supabase,76702,supabase,Singapore
supabase,76702,supabase,Italy
supabase,76702,supabase,your mom's house
supabase,76702,supabase,Singapore
supabase,76702,supabase,Singapore
supabase,76702,supabase,Tokyo
supabase,76702,supabase,SIngapore
supabase,76702,supabase,"Skopje, Macedonia"
supabase,76702,supabase,Singapore
supabase,76702,supabase,United Kingdom
supabase,76702,supabase,Singapore
supabase,76702,supabase,Singapore
supabase,76702,supabase,Singapore
supabase,76702,supabase,"New York, NY"
supabase,76702,supabase,"Skopje, Republic of North Macedonia"
supabase,76702,supabase,USA
supabase,76702,supabase,"London, UK"
supabase,76702,supabase,Singapore
supabase,76702,supabase,Maringá
supabase,76702,supabase,"Palma, Illes Balears, Spain"
generative-ai-for-beginners,69367,microsoft,"Stockholm, Sweden "
generative-ai-for-beginners,69367,microsoft,"Cairo, Egypt"
generative-ai-for-beginners,69367,microsoft,Japan
generative-ai-for-beginners,69367,microsoft,Rio de Janeiro
generative-ai-for-beginners,69367,microsoft,WorldWide
generative-ai-for-beginners,69367,microsoft,"Rome, Italy"
generative-ai-for-beginners,69367,microsoft,London
